K,Dimension,Number of Points,Time,Distribution
3,2,1600,3.7872e-05,Gaussian
4,2,1600,5.49274e-05,Gaussian
5,2,1600,7.01475e-05,Gaussian
6,2,1600,8.16482e-05,Gaussian
7,2,1600,9.34307e-05,Gaussian
8,2,1600,0.000110553,Gaussian
9,2,1600,0.000123366,Gaussian
10,2,1600,0.00013043,Gaussian
11,2,1600,0.000162091,Gaussian
1,2,3200,2.36172e-05,Gaussian
2,2,3200,4.71467e-05,Gaussian
3,2,3200,7.24746e-05,Gaussian
4,2,3200,0.000105747,Gaussian
5,2,3200,0.00013685,Gaussian
6,2,3200,0.000156955,Gaussian
7,2,3200,0.000190533,Gaussian
8,2,3200,0.000219395,Gaussian
9,2,3200,0.000237615,Gaussian
10,2,3200,0.000248969,Gaussian
11,2,3200,0.000270927,Gaussian
1,2,6400,2.84548e-05,Gaussian
2,2,6400,5.36644e-05,Gaussian
3,2,6400,0.00011258,Gaussian
4,2,6400,0.000138962,Gaussian
5,2,6400,0.000173324,Gaussian
6,2,6400,0.000195818,Gaussian
7,2,6400,0.000229157,Gaussian
8,2,6400,0.000277056,Gaussian
9,2,6400,0.000311546,Gaussian
10,2,6400,0.000328222,Gaussian
11,2,6400,0.000354322,Gaussian
1,2,12800,3.69787e-05,Gaussian
2,2,12800,7.79444e-05,Gaussian
3,2,12800,0.000128926,Gaussian
4,2,12800,0.000181502,Gaussian
5,2,12800,0.000222728,Gaussian
6,2,12800,0.000254649,Gaussian
7,2,12800,0.000293486,Gaussian
8,2,12800,0.00035543,Gaussian
9,2,12800,0.000411747,Gaussian
10,2,12800,0.000426539,Gaussian
11,2,12800,0.000465438,Gaussian
1,2,25600,3.49821e-05,Gaussian
2,2,25600,0.000101642,Gaussian
3,2,25600,0.000168987,Gaussian
4,2,25600,0.000256168,Gaussian
5,2,25600,0.00033111,Gaussian
6,2,25600,0.000391911,Gaussian
7,2,25600,0.000496508,Gaussian
8,2,25600,0.000579846,Gaussian
9,2,25600,0.00066142,Gaussian
10,2,25600,0.000703834,Gaussian
11,2,25600,0.000776426,Gaussian
1,2,51200,6.31166e-05,Gaussian
2,2,51200,0.000121107,Gaussian
3,2,51200,0.000189485,Gaussian
4,2,51200,0.000301811,Gaussian
5,2,51200,0.000411218,Gaussian
6,2,51200,0.000493314,Gaussian
7,2,51200,0.000591583,Gaussian
8,2,51200,0.000719031,Gaussian
9,2,51200,0.00080827,Gaussian
10,2,51200,0.000853485,Gaussian
11,2,51200,0.000952327,Gaussian
1,2,102400,8.44969e-05,Gaussian
2,2,102400,0.000189442,Gaussian
3,2,102400,0.000306019,Gaussian
4,2,102400,0.000470775,Gaussian
5,2,102400,0.000604461,Gaussian
6,2,102400,0.000716834,Gaussian
7,2,102400,0.000849607,Gaussian
8,2,102400,0.00104576,Gaussian
9,2,102400,0.00115291,Gaussian
10,2,102400,0.00121026,Gaussian
11,2,102400,0.00133342,Gaussian
1,2,204800,0.00011713,Gaussian
2,2,204800,0.000304886,Gaussian
3,2,204800,0.000623033,Gaussian
4,2,204800,0.000949878,Gaussian
5,2,204800,0.00123743,Gaussian
6,2,204800,0.00145583,Gaussian
7,2,204800,0.00171148,Gaussian
8,2,204800,0.00203478,Gaussian
9,2,204800,0.00235394,Gaussian
10,2,204800,0.00245779,Gaussian
11,2,204800,0.00274228,Gaussian
1,2,409600,0.000134677,Gaussian
2,2,409600,0.00038244,Gaussian
3,2,409600,0.000661696,Gaussian
4,2,409600,0.00110402,Gaussian
5,2,409600,0.00149518,Gaussian
6,2,409600,0.00170425,Gaussian
7,2,409600,0.00200185,Gaussian
8,2,409600,0.00241611,Gaussian
9,2,409600,0.00275939,Gaussian
10,2,409600,0.00295093,Gaussian
11,2,409600,0.00334231,Gaussian
1,2,819200,0.000136746,Gaussian
2,2,819200,0.000370317,Gaussian
3,2,819200,0.000704926,Gaussian
4,2,819200,0.0011887,Gaussian
5,2,819200,0.00182326,Gaussian
6,2,819200,0.00190029,Gaussian
7,2,819200,0.00230199,Gaussian
8,2,819200,0.0028213,Gaussian
9,2,819200,0.00331501,Gaussian
10,2,819200,0.00343668,Gaussian
11,2,819200,0.00382116,Gaussian
1,3,50,1.42172e-05,Uniform
2,3,50,9.932e-06,Uniform
3,3,50,1.23267e-05,Uniform
4,3,50,1.49427e-05,Uniform
5,3,50,1.67654e-05,Uniform
6,3,50,1.98781e-05,Uniform
7,3,50,2.32598e-05,Uniform
8,3,50,0.000129107,Uniform
9,3,50,6.89265e-05,Uniform
10,3,50,2.37109e-05,Uniform
11,3,50,2.41617e-05,Uniform
1,3,100,1.15768e-05,Uniform
2,3,100,1.54289e-05,Uniform
3,3,100,1.91391e-05,Uniform
4,3,100,2.30211e-05,Uniform
5,3,100,2.77144e-05,Uniform
6,3,100,2.97862e-05,Uniform
7,3,100,3.24235e-05,Uniform
8,3,100,3.62314e-05,Uniform
9,3,100,3.98804e-05,Uniform
10,3,100,4.08947e-05,Uniform
11,3,100,4.31335e-05,Uniform
1,3,200,1.24316e-05,Uniform
2,3,200,1.75641e-05,Uniform
3,3,200,2.14431e-05,Uniform
4,3,200,2.49123e-05,Uniform
5,3,200,3.00057e-05,Uniform
6,3,200,4.3104e-05,Uniform
7,3,200,3.69218e-05,Uniform
8,3,200,4.35178e-05,Uniform
9,3,200,4.48994e-05,Uniform
10,3,200,4.61751e-05,Uniform
11,3,200,4.90103e-05,Uniform
1,3,400,1.69218e-05,Uniform
2,3,400,2.41907e-05,Uniform
3,3,400,3.15792e-05,Uniform
4,3,400,4.2311e-05,Uniform
5,3,400,5.0757e-05,Uniform
6,3,400,5.43287e-05,Uniform
7,3,400,0.000116474,Uniform
8,3,400,7.94283e-05,Uniform
9,3,400,7.5232e-05,Uniform
10,3,400,7.88922e-05,Uniform
11,3,400,8.70271e-05,Uniform
1,3,800,2.94387e-05,Uniform
2,3,800,4.59041e-05,Uniform
3,3,800,6.66938e-05,Uniform
4,3,800,7.34596e-05,Uniform
5,3,800,8.1866e-05,Uniform
6,3,800,9.26501e-05,Uniform
7,3,800,9.84205e-05,Uniform
8,3,800,0.000147836,Uniform
9,3,800,0.000131494,Uniform
10,3,800,0.000130206,Uniform
11,3,800,0.000138862,Uniform
1,3,1600,3.26617e-05,Uniform
2,3,1600,4.80419e-05,Uniform
3,3,1600,5.95347e-05,Uniform
4,3,1600,7.63896e-05,Uniform
5,3,1600,8.93447e-05,Uniform
6,3,1600,0.000105054,Uniform
7,3,1600,0.000113777,Uniform
8,3,1600,0.000127948,Uniform
9,3,1600,0.000138941,Uniform
10,3,1600,0.000146954,Uniform
11,3,1600,0.000163214,Uniform
1,3,3200,5.8461e-05,Uniform
2,3,3200,6.58761e-05,Uniform
